,song_name,song_id,artist_name,artist_id,alb_name,alb_id,song_likes,debut_date,artist_type,artist_gender,artist_nationality
1138,나비와 고양이 (feat.백현 (BAEKHYUN)),32583036.0,볼빨간사춘기,792022.0,사춘기집Ⅱ 꽃 본 나비,10427559.0,171101,2010,솔로,여성,대한민국
1139,좋다고 말해,30163110.0,볼빨간사춘기,792022.0,Full Album RED PLANET 'Hidden Track',10024816.0,225907,2010,솔로,여성,대한민국
1140,우주를 줄게,9620469.0,볼빨간사춘기,792022.0,Full Album RED PLANET,2707131.0,291757,2010,솔로,여성,대한민국
1141,나만 안되는 연애,9620473.0,볼빨간사춘기,792022.0,Full Album RED PLANET,2707131.0,207833,2010,솔로,여성,대한민국
1142,Seoul,34930369.0,볼빨간사춘기,792022.0,Seoul,10926502.0,39915,2010,솔로,여성,대한민국
1143,처음부터 너와 나,30414090.0,볼빨간사춘기,792022.0,군주 - 가면의 주인 OST Part.2,10062351.0,169352,2010,솔로,여성,대한민국
1144,"나만, 봄",31709523.0,볼빨간사춘기,792022.0,사춘기집Ⅰ 꽃기운,10268898.0,182157,2010,솔로,여성,대한민국
1145,심술,8155478.0,볼빨간사춘기,792022.0,Half Album RED ICKLE,2680986.0,150756,2010,솔로,여성,대한민국
1146,#첫사랑,30829858.0,볼빨간사춘기,792022.0,#첫사랑,10127486.0,127067,2010,솔로,여성,대한민국
1147,별 보러 갈래?,31709524.0,볼빨간사춘기,792022.0,사춘기집Ⅰ 꽃기운,10268898.0,117406,2010,솔로,여성,대한민국
1148,썸 탈꺼야,30657307.0,볼빨간사춘기,792022.0,Red Diary Page.1,10100191.0,211191,2010,솔로,여성,대한민국
1149,You(=I),9620471.0,볼빨간사춘기,792022.0,Full Album RED PLANET,2707131.0,122987,2010,솔로,여성,대한민국
1150,여행,31093710.0,볼빨간사춘기,792022.0,Red Diary Page.2,10170069.0,280374,2010,솔로,여성,대한민국
1151,나의 사춘기에게,30657311.0,볼빨간사춘기,792022.0,Red Diary Page.1,10100191.0,293857,2010,솔로,여성,대한민국
1152,HandClap,8111603.0,Fitz & The Tantrums,750471.0,Fitz and The Tantrums (Deluxe Edition),2675179.0,193386,2010,그룹,혼성,미국
1153,듣고 싶을까,34701627.0,MSG워너비(M.O.M),2939212.0,듣고 싶을까,10880544.0,80030,2020,그룹,남성,대한민국
1154,바라만 본다,33625988.0,MSG워너비(M.O.M),2939212.0,MSG워너비 1집,10638275.0,180067,2020,그룹,남성,대한민국
1155,남자니까 웃는거야,3485088.0,"Homme (창민, 이현)",778464.0,Homme By 'Hitman' Bang - 남자니까 웃는거야,1337552.0,6548,2010.07.28,그룹,남성,대한민국
1156,하늘위로 (Remix),1621412.0,렉시,7664.0,RUSH,349748.0,4748,2003,솔로,여성,대한민국
1157,하늘위로 (Feat. 김지은),1621405.0,렉시,7664.0,RUSH,349748.0,1991,2003,솔로,여성,대한민국
1158,눈물씻고 화장하고,894063.0,렉시,7664.0,Lextacy,305914.0,1937,2003,솔로,여성,대한민국
1159,Get Up (Intro) (Feat. 태양),1621402.0,렉시,7664.0,RUSH,349748.0,216,2003,솔로,여성,대한민국
1160,Rush (Feat. 태양),1621403.0,렉시,7664.0,RUSH,349748.0,310,2003,솔로,여성,대한민국
1161,쿵쿵,1621404.0,렉시,7664.0,RUSH,349748.0,228,2003,솔로,여성,대한민국
1162,Baby Boy (Feat. 박봄),1621406.0,렉시,7664.0,RUSH,349748.0,881,2003,솔로,여성,대한민국
1163,Super Fly (Feat. G.D & T.O.P & 태양),1621408.0,렉시,7664.0,RUSH,349748.0,653,2003,솔로,여성,대한민국
1164,Hit This Party (Feat. 김지은),1621407.0,렉시,7664.0,RUSH,349748.0,89,2003,솔로,여성,대한민국
1165,손수건,1656182.0,김동완,1743.0,Kim Dong Wan Is,352919.0,6036,2007.06.28,솔로,남성,대한민국
1166,이층집 소녀,632781.0,김동완,1743.0,Winter Story 2004-05,44592.0,1543,2007.06.28,솔로,남성,대한민국
